"Step","t5_google_byt5-small_27-06-2023_14-10-24 - train/loss","t5_google_byt5-small_27-06-2023_14-10-24 - train/loss__MIN","t5_google_byt5-small_27-06-2023_14-10-24 - train/loss__MAX","mt5_google_mt5-small_27-06-2023_06-01-21 - train/loss","mt5_google_mt5-small_27-06-2023_06-01-21 - train/loss__MIN","mt5_google_mt5-small_27-06-2023_06-01-21 - train/loss__MAX","mt5_bigscience_mt0-small_27-06-2023_05-48-21 - train/loss","mt5_bigscience_mt0-small_27-06-2023_05-48-21 - train/loss__MIN","mt5_bigscience_mt0-small_27-06-2023_05-48-21 - train/loss__MAX","mbart_facebook_mbart-large-50-many-to-one-mmt_26-06-2023_05-32-15 - train/loss","mbart_facebook_mbart-large-50-many-to-one-mmt_26-06-2023_05-32-15 - train/loss__MIN","mbart_facebook_mbart-large-50-many-to-one-mmt_26-06-2023_05-32-15 - train/loss__MAX","mbart_facebook_mbart-large-50_26-06-2023_05-27-44 - train/loss","mbart_facebook_mbart-large-50_26-06-2023_05-27-44 - train/loss__MIN","mbart_facebook_mbart-large-50_26-06-2023_05-27-44 - train/loss__MAX","mbart_facebook_mbart-large-cc25_25-06-2023_18-25-53 - train/loss","mbart_facebook_mbart-large-cc25_25-06-2023_18-25-53 - train/loss__MIN","mbart_facebook_mbart-large-cc25_25-06-2023_18-25-53 - train/loss__MAX","mbart_facebook_mbart-large-50-many-to-many-mmt_25-06-2023_18-16-48 - train/loss","mbart_facebook_mbart-large-50-many-to-many-mmt_25-06-2023_18-16-48 - train/loss__MIN","mbart_facebook_mbart-large-50-many-to-many-mmt_25-06-2023_18-16-48 - train/loss__MAX","marian_Helsinki-NLP_opus-mt-en-mul_25-06-2023_18-12-08 - train/loss","marian_Helsinki-NLP_opus-mt-en-mul_25-06-2023_18-12-08 - train/loss__MIN","marian_Helsinki-NLP_opus-mt-en-mul_25-06-2023_18-12-08 - train/loss__MAX","marian_Helsinki-NLP_opus-mt-mul-en_23-06-2023_16-41-26 - train/loss","marian_Helsinki-NLP_opus-mt-mul-en_23-06-2023_16-41-26 - train/loss__MIN","marian_Helsinki-NLP_opus-mt-mul-en_23-06-2023_16-41-26 - train/loss__MAX","marian_Helsinki-NLP_opus-mt-zh-vi_23-06-2023_07-58-18 - train/loss","marian_Helsinki-NLP_opus-mt-zh-vi_23-06-2023_07-58-18 - train/loss__MIN","marian_Helsinki-NLP_opus-mt-zh-vi_23-06-2023_07-58-18 - train/loss__MAX"
"120","","","","0.5766","0.5766","0.5766","0.5343","0.5343","0.5343","","","","","","","","","","","","","0.4304","0.4304","0.4304","0.3945","0.3945","0.3945","0.4917","0.4917","0.4917"
"121","","","","0.5897","0.5897","0.5897","0.5435","0.5435","0.5435","","","","","","","","","","","","","0.4369","0.4369","0.4369","0.3996","0.3996","0.3996","0.4987","0.4987","0.4987"
"122","","","","0.5787","0.5787","0.5787","0.5315","0.5315","0.5315","","","","","","","","","","","","","0.4299","0.4299","0.4299","0.3942","0.3942","0.3942","0.492","0.492","0.492"
"123","","","","0.5814","0.5814","0.5814","0.5369","0.5369","0.5369","","","","","","","","","","","","","0.4352","0.4352","0.4352","0.4001","0.4001","0.4001","0.4961","0.4961","0.4961"
"124","","","","0.5679","0.5679","0.5679","0.5226","0.5226","0.5226","","","","","","","","","","","","","0.436","0.436","0.436","0.3997","0.3997","0.3997","0.4979","0.4979","0.4979"
"125","","","","0.5731","0.5731","0.5731","0.5318","0.5318","0.5318","","","","","","","","","","","","","0.4218","0.4218","0.4218","0.387","0.387","0.387","0.4815","0.4815","0.4815"
"126","","","","0.5462","0.5462","0.5462","0.5043","0.5043","0.5043","","","","","","","","","","","","","0.4351","0.4351","0.4351","0.3989","0.3989","0.3989","0.4983","0.4983","0.4983"
"127","","","","0.5928","0.5928","0.5928","0.5497","0.5497","0.5497","","","","","","","","","","","","","0.432","0.432","0.432","0.396","0.396","0.396","0.4913","0.4913","0.4913"
"128","","","","0.5657","0.5657","0.5657","0.5239","0.5239","0.5239","","","","","","","","","","","","","0.4273","0.4273","0.4273","0.3925","0.3925","0.3925","0.4862","0.4862","0.4862"
"129","","","","0.5674","0.5674","0.5674","0.5237","0.5237","0.5237","","","","","","","","","","","","","0.4293","0.4293","0.4293","0.3937","0.3937","0.3937","0.4898","0.4898","0.4898"
"130","","","","0.563","0.563","0.563","0.5221","0.5221","0.5221","","","","","","","","","","","","","0.425","0.425","0.425","0.3894","0.3894","0.3894","0.4863","0.4863","0.4863"
"131","","","","0.5939","0.5939","0.5939","0.5497","0.5497","0.5497","","","","","","","","","","","","","0.4287","0.4287","0.4287","0.3938","0.3938","0.3938","0.4913","0.4913","0.4913"
"132","","","","0.5842","0.5842","0.5842","0.5414","0.5414","0.5414","","","","","","","","","","","","","0.4243","0.4243","0.4243","0.3893","0.3893","0.3893","0.4855","0.4855","0.4855"
"133","","","","0.5636","0.5636","0.5636","0.5247","0.5247","0.5247","","","","","","","","","","","","","0.4329","0.4329","0.4329","0.3977","0.3977","0.3977","0.4931","0.4931","0.4931"
"134","","","","0.58","0.58","0.58","0.5345","0.5345","0.5345","","","","","","","","","","","","","0.4283","0.4283","0.4283","0.3934","0.3934","0.3934","0.488","0.488","0.488"
"135","","","","0.5538","0.5538","0.5538","0.5157","0.5157","0.5157","","","","","","","","","","","","","0.4262","0.4262","0.4262","0.3909","0.3909","0.3909","0.4851","0.4851","0.4851"
"136","","","","0.565","0.565","0.565","0.5226","0.5226","0.5226","","","","","","","","","","","","","0.429","0.429","0.429","0.3933","0.3933","0.3933","0.4867","0.4867","0.4867"
"137","","","","0.5889","0.5889","0.5889","0.5458","0.5458","0.5458","","","","","","","","","","","","","0.4258","0.4258","0.4258","0.3906","0.3906","0.3906","0.4834","0.4834","0.4834"
"138","","","","0.5673","0.5673","0.5673","0.5274","0.5274","0.5274","","","","","","","","","","","","","0.4255","0.4255","0.4255","0.3896","0.3896","0.3896","0.484","0.484","0.484"
"139","","","","0.5808","0.5808","0.5808","0.538","0.538","0.538","","","","","","","","","","","","","0.4244","0.4244","0.4244","0.3891","0.3891","0.3891","0.4832","0.4832","0.4832"
"140","","","","0.5615","0.5615","0.5615","0.5198","0.5198","0.5198","","","","","","","","","","","","","0.43","0.43","0.43","0.3934","0.3934","0.3934","0.49","0.49","0.49"
"141","","","","0.5751","0.5751","0.5751","0.5346","0.5346","0.5346","","","","","","","","","","","","","0.4128","0.4128","0.4128","0.3748","0.3748","0.3748","0.4732","0.4732","0.4732"
"142","","","","0.5531","0.5531","0.5531","0.5148","0.5148","0.5148","","","","","","","","","","","","","0.4087","0.4087","0.4087","0.3735","0.3735","0.3735","0.4697","0.4697","0.4697"
"143","","","","0.5779","0.5779","0.5779","0.5395","0.5395","0.5395","","","","","","","","","","","","","0.4161","0.4161","0.4161","0.379","0.379","0.379","0.4764","0.4764","0.4764"
"144","","","","0.5656","0.5656","0.5656","0.526","0.526","0.526","","","","","","","","","","","","","0.4038","0.4038","0.4038","0.3679","0.3679","0.3679","0.4626","0.4626","0.4626"
"145","","","","0.5716","0.5716","0.5716","0.5306","0.5306","0.5306","","","","","","","","","","","","","0.4038","0.4038","0.4038","0.3696","0.3696","0.3696","0.463","0.463","0.463"
"146","","","","0.582","0.582","0.582","0.5405","0.5405","0.5405","","","","","","","","","","","","","0.4144","0.4144","0.4144","0.3757","0.3757","0.3757","0.4719","0.4719","0.4719"
"147","","","","0.5735","0.5735","0.5735","0.5358","0.5358","0.5358","","","","","","","","","","","","","0.4087","0.4087","0.4087","0.3733","0.3733","0.3733","0.468","0.468","0.468"
"148","","","","0.5472","0.5472","0.5472","0.5105","0.5105","0.5105","","","","","","","","","","","","","0.4083","0.4083","0.4083","0.372","0.372","0.372","0.4673","0.4673","0.4673"
"149","","","","0.555","0.555","0.555","0.5201","0.5201","0.5201","","","","","","","","","","","","","0.4118","0.4118","0.4118","0.3757","0.3757","0.3757","0.4692","0.4692","0.4692"
"150","","","","0.5803","0.5803","0.5803","0.5389","0.5389","0.5389","","","","","","","","","","","","","0.4158","0.4158","0.4158","0.3789","0.3789","0.3789","0.4748","0.4748","0.4748"
"151","","","","0.5456","0.5456","0.5456","0.5107","0.5107","0.5107","","","","","","","","","","","","","0.4139","0.4139","0.4139","0.3778","0.3778","0.3778","0.4709","0.4709","0.4709"
"152","","","","0.5556","0.5556","0.5556","0.5172","0.5172","0.5172","","","","","","","","","","","","","0.4089","0.4089","0.4089","0.3731","0.3731","0.3731","0.4676","0.4676","0.4676"
"153","","","","0.5722","0.5722","0.5722","0.5329","0.5329","0.5329","","","","","","","","","","","","","0.4135","0.4135","0.4135","0.377","0.377","0.377","0.4722","0.4722","0.4722"
"154","","","","0.5452","0.5452","0.5452","0.5109","0.5109","0.5109","","","","","","","","","","","","","0.4128","0.4128","0.4128","0.3768","0.3768","0.3768","0.4699","0.4699","0.4699"
"155","","","","0.5488","0.5488","0.5488","0.5128","0.5128","0.5128","","","","","","","","","","","","","0.4113","0.4113","0.4113","0.3767","0.3767","0.3767","0.4697","0.4697","0.4697"
"156","","","","0.581","0.581","0.581","0.5412","0.5412","0.5412","","","","","","","","","","","","","0.4117","0.4117","0.4117","0.375","0.375","0.375","0.4679","0.4679","0.4679"
"157","","","","0.5769","0.5769","0.5769","0.5366","0.5366","0.5366","","","","","","","","","","","","","0.4077","0.4077","0.4077","0.3729","0.3729","0.3729","0.4651","0.4651","0.4651"
"158","","","","0.5641","0.5641","0.5641","0.5267","0.5267","0.5267","","","","","","","","","","","","","0.4142","0.4142","0.4142","0.3776","0.3776","0.3776","0.4711","0.4711","0.4711"
"159","","","","0.5621","0.5621","0.5621","0.5274","0.5274","0.5274","","","","","","","","","","","","","0.4076","0.4076","0.4076","0.3714","0.3714","0.3714","0.4653","0.4653","0.4653"
"160","","","","0.5586","0.5586","0.5586","0.519","0.519","0.519","","","","","","","","","","","","","0.4061","0.4061","0.4061","0.3706","0.3706","0.3706","0.4619","0.4619","0.4619"
"161","","","","0.5629","0.5629","0.5629","0.5263","0.5263","0.5263","","","","","","","","","","","","","0.4075","0.4075","0.4075","0.3706","0.3706","0.3706","0.4636","0.4636","0.4636"
"162","","","","0.5664","0.5664","0.5664","0.5312","0.5312","0.5312","","","","","","","","","","","","","0.4062","0.4062","0.4062","0.3698","0.3698","0.3698","0.4637","0.4637","0.4637"
"163","","","","0.5697","0.5697","0.5697","0.5351","0.5351","0.5351","","","","","","","","","","","","","0.4038","0.4038","0.4038","0.3679","0.3679","0.3679","0.459","0.459","0.459"
"164","","","","0.5654","0.5654","0.5654","0.5262","0.5262","0.5262","","","","","","","","","","","","","0.4099","0.4099","0.4099","0.3741","0.3741","0.3741","0.4673","0.4673","0.4673"
"165","","","","0.5405","0.5405","0.5405","0.5064","0.5064","0.5064","","","","","","","","","","","","","0.4118","0.4118","0.4118","0.376","0.376","0.376","0.4672","0.4672","0.4672"
"166","","","","0.5584","0.5584","0.5584","0.5216","0.5216","0.5216","","","","","","","","","","","","","0.4103","0.4103","0.4103","0.3733","0.3733","0.3733","0.4651","0.4651","0.4651"
"167","","","","0.5548","0.5548","0.5548","0.5175","0.5175","0.5175","","","","","","","","","","","","","0.4075","0.4075","0.4075","0.3721","0.3721","0.3721","0.4656","0.4656","0.4656"
"168","","","","0.5387","0.5387","0.5387","0.5038","0.5038","0.5038","","","","","","","","","","","","","0.4076","0.4076","0.4076","0.3713","0.3713","0.3713","0.4649","0.4649","0.4649"
"169","","","","0.56","0.56","0.56","0.523","0.523","0.523","","","","","","","","","","","","","0.4029","0.4029","0.4029","0.3691","0.3691","0.3691","0.4556","0.4556","0.4556"
"170","","","","0.5496","0.5496","0.5496","0.5146","0.5146","0.5146","","","","","","","","","","","","","0.4093","0.4093","0.4093","0.3729","0.3729","0.3729","0.4649","0.4649","0.4649"
"171","","","","0.5434","0.5434","0.5434","0.5089","0.5089","0.5089","","","","","","","","","","","","","0.4123","0.4123","0.4123","0.3753","0.3753","0.3753","0.4702","0.4702","0.4702"
"172","","","","0.5408","0.5408","0.5408","0.5066","0.5066","0.5066","","","","","","","","","","","","","0.4076","0.4076","0.4076","0.3715","0.3715","0.3715","0.4615","0.4615","0.4615"
"173","","","","0.5431","0.5431","0.5431","0.51","0.51","0.51","","","","","","","","","","","","","0.4123","0.4123","0.4123","0.3769","0.3769","0.3769","0.4699","0.4699","0.4699"
"174","","","","0.5599","0.5599","0.5599","0.5273","0.5273","0.5273","","","","","","","","","","","","","0.399","0.399","0.399","0.3658","0.3658","0.3658","0.4511","0.4511","0.4511"
"175","","","","0.5697","0.5697","0.5697","0.5357","0.5357","0.5357","","","","","","","","","","","","","0.4035","0.4035","0.4035","0.3695","0.3695","0.3695","0.4583","0.4583","0.4583"
"176","","","","0.5265","0.5265","0.5265","0.4951","0.4951","0.4951","","","","","","","","","","","","","0.4071","0.4071","0.4071","0.3728","0.3728","0.3728","0.4619","0.4619","0.4619"
"177","","","","0.5635","0.5635","0.5635","0.5275","0.5275","0.5275","","","","","","","","","","","","","0.4034","0.4034","0.4034","0.3684","0.3684","0.3684","0.4574","0.4574","0.4574"
"178","","","","0.5513","0.5513","0.5513","0.5191","0.5191","0.5191","","","","","","","","","","","","","0.403","0.403","0.403","0.3684","0.3684","0.3684","0.4588","0.4588","0.4588"
"179","","","","0.5617","0.5617","0.5617","0.5282","0.5282","0.5282","","","","","","","","","","","","","0.4031","0.4031","0.4031","0.3666","0.3666","0.3666","0.458","0.458","0.458"
"180","","","","0.5476","0.5476","0.5476","0.5159","0.5159","0.5159","","","","","","","","","","","","","0.4105","0.4105","0.4105","0.3736","0.3736","0.3736","0.4676","0.4676","0.4676"
"181","","","","0.5524","0.5524","0.5524","0.52","0.52","0.52","","","","","","","","","","","","","0.4051","0.4051","0.4051","0.3697","0.3697","0.3697","0.4582","0.4582","0.4582"
"182","","","","0.5479","0.5479","0.5479","0.5184","0.5184","0.5184","","","","","","","","","","","","","0.4075","0.4075","0.4075","0.3733","0.3733","0.3733","0.4636","0.4636","0.4636"
"183","","","","0.539","0.539","0.539","0.5065","0.5065","0.5065","","","","","","","","","","","","","0.3995","0.3995","0.3995","0.3658","0.3658","0.3658","0.4533","0.4533","0.4533"
"184","","","","0.5499","0.5499","0.5499","0.5173","0.5173","0.5173","","","","","","","","","","","","","0.4025","0.4025","0.4025","0.3668","0.3668","0.3668","0.4566","0.4566","0.4566"
"185","","","","0.5441","0.5441","0.5441","0.5113","0.5113","0.5113","","","","","","","","","","","","","0.4047","0.4047","0.4047","0.3683","0.3683","0.3683","0.4605","0.4605","0.4605"
"186","","","","0.5111","0.5111","0.5111","0.4818","0.4818","0.4818","","","","","","","","","","","","","0.4058","0.4058","0.4058","0.3703","0.3703","0.3703","0.461","0.461","0.461"
"187","","","","0.5372","0.5372","0.5372","0.5077","0.5077","0.5077","","","","","","","","","","","","","0.4032","0.4032","0.4032","0.3671","0.3671","0.3671","0.4568","0.4568","0.4568"
"188","","","","0.5334","0.5334","0.5334","0.5008","0.5008","0.5008","","","","","","","","","","","","","0.3937","0.3937","0.3937","0.3565","0.3565","0.3565","0.4497","0.4497","0.4497"
"189","","","","0.5248","0.5248","0.5248","0.4922","0.4922","0.4922","","","","","","","","","","","","","0.3952","0.3952","0.3952","0.3589","0.3589","0.3589","0.4508","0.4508","0.4508"
"190","","","","0.5543","0.5543","0.5543","0.5213","0.5213","0.5213","","","","","","","","","","","","","0.3938","0.3938","0.3938","0.3565","0.3565","0.3565","0.449","0.449","0.449"
"191","","","","0.5276","0.5276","0.5276","0.4958","0.4958","0.4958","","","","","","","","","","","","","0.3932","0.3932","0.3932","0.3562","0.3562","0.3562","0.4496","0.4496","0.4496"
"192","","","","0.5455","0.5455","0.5455","0.5145","0.5145","0.5145","","","","","","","","","","","","","0.3948","0.3948","0.3948","0.3589","0.3589","0.3589","0.4518","0.4518","0.4518"
"193","","","","0.5205","0.5205","0.5205","0.4911","0.4911","0.4911","","","","","","","","","","","","","0.3953","0.3953","0.3953","0.3597","0.3597","0.3597","0.4495","0.4495","0.4495"
"194","","","","0.543","0.543","0.543","0.5127","0.5127","0.5127","","","","","","","","","","","","","0.3999","0.3999","0.3999","0.3616","0.3616","0.3616","0.4556","0.4556","0.4556"
"195","","","","0.5387","0.5387","0.5387","0.5093","0.5093","0.5093","","","","","","","","","","","","","0.3922","0.3922","0.3922","0.3565","0.3565","0.3565","0.4479","0.4479","0.4479"
"196","","","","0.5427","0.5427","0.5427","0.5143","0.5143","0.5143","","","","","","","","","","","","","0.387","0.387","0.387","0.3514","0.3514","0.3514","0.4402","0.4402","0.4402"
"197","","","","0.5267","0.5267","0.5267","0.4993","0.4993","0.4993","","","","","","","","","","","","","0.3933","0.3933","0.3933","0.3585","0.3585","0.3585","0.4495","0.4495","0.4495"
"198","","","","0.5489","0.5489","0.5489","0.5162","0.5162","0.5162","","","","","","","","","","","","","0.3933","0.3933","0.3933","0.355","0.355","0.355","0.4492","0.4492","0.4492"
"199","","","","0.5176","0.5176","0.5176","0.4884","0.4884","0.4884","","","","","","","","","","","","","0.3925","0.3925","0.3925","0.357","0.357","0.357","0.4488","0.4488","0.4488"
"200","","","","0.5182","0.5182","0.5182","0.4886","0.4886","0.4886","","","","","","","","","","","","","0.3911","0.3911","0.3911","0.3559","0.3559","0.3559","0.4449","0.4449","0.4449"
"201","","","","0.5315","0.5315","0.5315","0.4992","0.4992","0.4992","","","","","","","","","","","","","0.3872","0.3872","0.3872","0.3516","0.3516","0.3516","0.4401","0.4401","0.4401"
"202","","","","0.521","0.521","0.521","0.4908","0.4908","0.4908","","","","","","","","","","","","","0.3903","0.3903","0.3903","0.355","0.355","0.355","0.4452","0.4452","0.4452"
"203","","","","0.5531","0.5531","0.5531","0.5192","0.5192","0.5192","","","","","","","","","","","","","0.3857","0.3857","0.3857","0.3502","0.3502","0.3502","0.4388","0.4388","0.4388"
"204","","","","0.5231","0.5231","0.5231","0.4907","0.4907","0.4907","","","","","","","","","","","","","0.3882","0.3882","0.3882","0.3509","0.3509","0.3509","0.4405","0.4405","0.4405"
"205","","","","0.5354","0.5354","0.5354","0.5041","0.5041","0.5041","","","","","","","","","","","","","0.3963","0.3963","0.3963","0.3596","0.3596","0.3596","0.4512","0.4512","0.4512"
"206","","","","0.5343","0.5343","0.5343","0.5017","0.5017","0.5017","","","","","","","","","","","","","0.3823","0.3823","0.3823","0.3485","0.3485","0.3485","0.4357","0.4357","0.4357"
"207","","","","0.5389","0.5389","0.5389","0.5093","0.5093","0.5093","","","","","","","","","","","","","0.3902","0.3902","0.3902","0.3551","0.3551","0.3551","0.4456","0.4456","0.4456"
"208","","","","0.5113","0.5113","0.5113","0.4801","0.4801","0.4801","","","","","","","","","","","","","0.3955","0.3955","0.3955","0.3589","0.3589","0.3589","0.4501","0.4501","0.4501"
"209","","","","0.5193","0.5193","0.5193","0.4888","0.4888","0.4888","","","","","","","","","","","","","0.3896","0.3896","0.3896","0.3527","0.3527","0.3527","0.4443","0.4443","0.4443"
"210","","","","0.5281","0.5281","0.5281","0.4976","0.4976","0.4976","","","","","","","","","","","","","0.3922","0.3922","0.3922","0.3553","0.3553","0.3553","0.4447","0.4447","0.4447"
"211","","","","0.5208","0.5208","0.5208","0.4921","0.4921","0.4921","","","","","","","","","","","","","0.3853","0.3853","0.3853","0.3503","0.3503","0.3503","0.4393","0.4393","0.4393"
"212","","","","0.5345","0.5345","0.5345","0.5028","0.5028","0.5028","","","","","","","","","","","","","0.3889","0.3889","0.3889","0.3532","0.3532","0.3532","0.4431","0.4431","0.4431"
"213","","","","0.5161","0.5161","0.5161","0.4896","0.4896","0.4896","","","","","","","","","","","","","0.3939","0.3939","0.3939","0.3564","0.3564","0.3564","0.449","0.449","0.449"
"214","","","","0.514","0.514","0.514","0.4848","0.4848","0.4848","","","","","","","","","","","","","0.3909","0.3909","0.3909","0.3545","0.3545","0.3545","0.446","0.446","0.446"
"215","","","","0.5138","0.5138","0.5138","0.484","0.484","0.484","","","","","","","","","","","","","0.3904","0.3904","0.3904","0.3534","0.3534","0.3534","0.446","0.446","0.446"
"216","","","","0.513","0.513","0.513","0.4812","0.4812","0.4812","","","","","","","","","","","","","0.3895","0.3895","0.3895","0.3544","0.3544","0.3544","0.4439","0.4439","0.4439"
"217","","","","0.5344","0.5344","0.5344","0.507","0.507","0.507","","","","","","","","","","","","","0.3877","0.3877","0.3877","0.353","0.353","0.353","0.4414","0.4414","0.4414"
"218","","","","0.5074","0.5074","0.5074","0.4811","0.4811","0.4811","","","","","","","","","","","","","0.3982","0.3982","0.3982","0.3613","0.3613","0.3613","0.4518","0.4518","0.4518"
"219","","","","0.5111","0.5111","0.5111","0.4826","0.4826","0.4826","","","","","","","","","","","","","0.3917","0.3917","0.3917","0.3567","0.3567","0.3567","0.4444","0.4444","0.4444"
"220","","","","0.4915","0.4915","0.4915","0.4653","0.4653","0.4653","","","","","","","","","","","","","0.3903","0.3903","0.3903","0.3545","0.3545","0.3545","0.4456","0.4456","0.4456"
"221","","","","0.5049","0.5049","0.5049","0.4784","0.4784","0.4784","","","","","","","","","","","","","0.3886","0.3886","0.3886","0.3532","0.3532","0.3532","0.4419","0.4419","0.4419"
"222","","","","0.5237","0.5237","0.5237","0.496","0.496","0.496","","","","","","","","","","","","","0.3836","0.3836","0.3836","0.3496","0.3496","0.3496","0.4365","0.4365","0.4365"
"223","","","","0.5346","0.5346","0.5346","0.5049","0.5049","0.5049","","","","","","","","","","","","","0.3864","0.3864","0.3864","0.35","0.35","0.35","0.4423","0.4423","0.4423"
"224","","","","0.5084","0.5084","0.5084","0.4805","0.4805","0.4805","","","","","","","","","","","","","0.3849","0.3849","0.3849","0.3494","0.3494","0.3494","0.4381","0.4381","0.4381"
"225","","","","0.5316","0.5316","0.5316","0.5025","0.5025","0.5025","","","","","","","","","","","","","0.3862","0.3862","0.3862","0.3504","0.3504","0.3504","0.4416","0.4416","0.4416"
"226","","","","0.5077","0.5077","0.5077","0.4813","0.4813","0.4813","","","","","","","","","","","","","0.3808","0.3808","0.3808","0.3467","0.3467","0.3467","0.4345","0.4345","0.4345"
"227","","","","0.5135","0.5135","0.5135","0.4842","0.4842","0.4842","","","","","","","","","","","","","0.395","0.395","0.395","0.3584","0.3584","0.3584","0.4512","0.4512","0.4512"
"228","","","","0.5427","0.5427","0.5427","0.5153","0.5153","0.5153","","","","","","","","","","","","","0.3945","0.3945","0.3945","0.3564","0.3564","0.3564","0.4478","0.4478","0.4478"
"229","","","","0.496","0.496","0.496","0.4703","0.4703","0.4703","","","","","","","","","","","","","0.3921","0.3921","0.3921","0.3556","0.3556","0.3556","0.4479","0.4479","0.4479"
"230","","","","0.5321","0.5321","0.5321","0.5043","0.5043","0.5043","","","","","","","","","","","","","0.3946","0.3946","0.3946","0.3579","0.3579","0.3579","0.4515","0.4515","0.4515"
"231","","","","0.5112","0.5112","0.5112","0.4851","0.4851","0.4851","","","","","","","","","","","","","0.394","0.394","0.394","0.3564","0.3564","0.3564","0.4469","0.4469","0.4469"
"232","","","","0.5147","0.5147","0.5147","0.4845","0.4845","0.4845","","","","","","","","","","","","","0.3909","0.3909","0.3909","0.3542","0.3542","0.3542","0.4454","0.4454","0.4454"
"233","","","","0.5054","0.5054","0.5054","0.4774","0.4774","0.4774","","","","","","","","","","","","","0.3873","0.3873","0.3873","0.3518","0.3518","0.3518","0.4405","0.4405","0.4405"
"234","","","","0.5098","0.5098","0.5098","0.4839","0.4839","0.4839","","","","","","","","","","","","","","","","","","","","",""
"235","","","","0.5081","0.5081","0.5081","0.4815","0.4815","0.4815","","","","","","","","","","","","","","","","","","","","",""
"236","","","","0.5078","0.5078","0.5078","0.4812","0.4812","0.4812","","","","","","","","","","","","","","","","","","","","",""
"237","","","","0.5109","0.5109","0.5109","0.4859","0.4859","0.4859","","","","","","","","","","","","","","","","","","","","",""
"238","","","","0.4934","0.4934","0.4934","0.4669","0.4669","0.4669","","","","","","","","","","","","","","","","","","","","",""
"239","","","","0.5176","0.5176","0.5176","0.4922","0.4922","0.4922","","","","","","","","","","","","","","","","","","","","",""
"240","","","","0.5292","0.5292","0.5292","0.4997","0.4997","0.4997","","","","","","","","","","","","","","","","","","","","",""
"241","","","","0.5132","0.5132","0.5132","0.4878","0.4878","0.4878","","","","","","","","","","","","","","","","","","","","",""
"242","","","","0.515","0.515","0.515","0.4882","0.4882","0.4882","","","","","","","","","","","","","","","","","","","","",""
"243","","","","0.5254","0.5254","0.5254","0.4977","0.4977","0.4977","","","","","","","","","","","","","","","","","","","","",""
"244","","","","0.4991","0.4991","0.4991","0.4722","0.4722","0.4722","","","","","","","","","","","","","","","","","","","","",""
"245","","","","0.5122","0.5122","0.5122","0.4866","0.4866","0.4866","","","","","","","","","","","","","","","","","","","","",""
"246","","","","0.5193","0.5193","0.5193","0.4896","0.4896","0.4896","","","","","","","","","","","","","","","","","","","","",""
"247","","","","0.5001","0.5001","0.5001","0.4787","0.4787","0.4787","","","","","","","","","","","","","","","","","","","","",""
"248","","","","0.5121","0.5121","0.5121","0.4858","0.4858","0.4858","","","","","","","","","","","","","","","","","","","","",""
"249","","","","0.484","0.484","0.484","0.4588","0.4588","0.4588","","","","","","","","","","","","","","","","","","","","",""
"250","","","","0.5114","0.5114","0.5114","0.4831","0.4831","0.4831","","","","","","","","","","","","","","","","","","","","",""
"251","","","","0.5161","0.5161","0.5161","0.4914","0.4914","0.4914","","","","","","","","","","","","","","","","","","","","",""
"252","","","","0.5042","0.5042","0.5042","0.48","0.48","0.48","","","","","","","","","","","","","","","","","","","","",""
"253","","","","0.4984","0.4984","0.4984","0.4716","0.4716","0.4716","","","","","","","","","","","","","","","","","","","","",""
"254","","","","0.4983","0.4983","0.4983","0.4712","0.4712","0.4712","","","","","","","","","","","","","","","","","","","","",""
"255","","","","0.5163","0.5163","0.5163","0.487","0.487","0.487","","","","","","","","","","","","","","","","","","","","",""
"256","","","","0.4913","0.4913","0.4913","0.4657","0.4657","0.4657","","","","","","","","","","","","","","","","","","","","",""
"257","","","","0.5122","0.5122","0.5122","0.487","0.487","0.487","","","","","","","","","","","","","","","","","","","","",""
"258","","","","0.5088","0.5088","0.5088","0.4824","0.4824","0.4824","","","","","","","","","","","","","","","","","","","","",""
"259","","","","0.5045","0.5045","0.5045","0.4752","0.4752","0.4752","","","","","","","","","","","","","","","","","","","","",""
"260","","","","0.5036","0.5036","0.5036","0.4758","0.4758","0.4758","","","","","","","","","","","","","","","","","","","","",""
"261","","","","0.5193","0.5193","0.5193","0.4932","0.4932","0.4932","","","","","","","","","","","","","","","","","","","","",""
"262","","","","0.5147","0.5147","0.5147","0.4873","0.4873","0.4873","","","","","","","","","","","","","","","","","","","","",""
"263","","","","0.5042","0.5042","0.5042","0.4788","0.4788","0.4788","","","","","","","","","","","","","","","","","","","","",""
"264","","","","0.4878","0.4878","0.4878","0.463","0.463","0.463","","","","","","","","","","","","","","","","","","","","",""
"265","","","","0.5224","0.5224","0.5224","0.498","0.498","0.498","","","","","","","","","","","","","","","","","","","","",""
"266","","","","0.5011","0.5011","0.5011","0.4752","0.4752","0.4752","","","","","","","","","","","","","","","","","","","","",""
"267","","","","0.5087","0.5087","0.5087","0.4818","0.4818","0.4818","","","","","","","","","","","","","","","","","","","","",""
"268","","","","0.5186","0.5186","0.5186","0.4926","0.4926","0.4926","","","","","","","","","","","","","","","","","","","","",""
"269","","","","0.5016","0.5016","0.5016","0.4764","0.4764","0.4764","","","","","","","","","","","","","","","","","","","","",""
"270","","","","0.501","0.501","0.501","0.4778","0.4778","0.4778","","","","","","","","","","","","","","","","","","","","",""
"271","","","","0.4901","0.4901","0.4901","0.4689","0.4689","0.4689","","","","","","","","","","","","","","","","","","","","",""
